"employment_rate_overall","gross_monthly_mean","degree"
97.4,3727,"Accountancy"
97.1,2938,"Accountancy"
93.3,2922,"Accountancy"
97.2,3143,"Accountancy"
94.2,3342,"Accountancy"
95.2,3634,"Accountancy"
98.2,3597,"Accountancy"
96.6,3003,"Accountancy"
93.9,2989,"Accountancy"
100,3407,"Accountancy"
93.6,3420,"Accountancy"
97.4,3903,"Accountancy"
98.6,4438,"Accountancy"
97.3,3240,"Accountancy"
97.6,2983,"Accountancy"
98.6,3587,"Accountancy"
97.3,3427,"Accountancy"
97.7,3701,"Accountancy"
97.3,3063,"Accountancy"
97.4,3893,"Accountancy"
88.6,3020,"Accountancy"
99,3465,"Accountancy"
98.5,3455,"Accountancy"
100,3943,"Accountancy"
97.1,3166,"Accountancy"
97.2,3892,"Accountancy"
97.2,3473,"Accountancy"
100,3744,"Accountancy"
98,3646,"Accountancy"
97.8,4089,"Accountancy"
94.1,3113,"Accountancy"
94.6,3245,"Accountancy"
99.2,4456,"Accountancy"
95.2,3522,"Accountancy"
97.6,3683,"Accountancy"
96.3,3216,"Accountancy"
96.4,3607,"Accountancy"
96.3,4439,"Accountancy"
98.7,2879,"Accountancy"
97.5,3254,"Accountancy"
97.9,4359,"Accountancy"
93.8,4005,"Accountancy"
97.8,4093,"Accountancy"
93.7,3239,"Accountancy"
96.4,3802,"Accountancy"
97.9,4431,"Accountancy"
91.1,2900,"Accountancy"
96,3228,"Accountancy"
97.6,4704,"Accountancy"
90.9,4443,"Accountancy"
96.8,4050,"Accountancy"
97.4,3120,"Accountancy"
94.7,3694,"Accountancy"
96.3,4057,"Accountancy"
94.6,3116,"Accountancy"
97.7,3539,"Accountancy"
99.2,5173,"Accountancy"
100,3515,"Accountancy"
97,4194,"Accountancy"
97.7,3431,"Accountancy"
98.7,3814,"Accountancy"
97.9,4213,"Accountancy"
98.6,3231,"Accountancy"
100,3478,"Education"
100,3506,"Education"
100,3475,"Education"
100,3536,"Education"
97.1,2553,"Education"
100,3604,"Education"
100,3622,"Education"
100,2807,"Education"
100,3525,"Education"
100,3546,"Education"
98,2707,"Education"
100,3701,"Education"
96.4,2890,"Education"
100,3751,"Education"
100,3738,"Education"
100,2911,"Education"
100,3710,"Education"
100,3758,"Education"
100,3682,"Education"
100,3744,"Education"
100,2879,"Education"
100,3718,"Education"
100,3796,"Education"
93,2963,"Education"
92.1,3306,"Science"
90.7,2883,"Science"
78.6,3002,"Science"
86,3262,"Science"
68.2,2985,"Science"
100,3478,"Science"
88.1,3210,"Science"
92.4,3953,"Science"
96.8,3025,"Science"
89.2,2988,"Science"
86.2,2960,"Science"
90.9,3169,"Science"
97.5,2886,"Science"
100,3042,"Science"
97.3,2925,"Science"
80.9,2804,"Science"
83.6,3217,"Science"
96.4,3540,"Science"
86.5,3150,"Science"
87.5,3267,"Science"
94.5,3304,"Science"
100,3018,"Science"
75.1,3174,"Science"
91.3,3078,"Science"
87.9,3229,"Science"
100,3475,"Science"
88.7,3304,"Science"
90.6,3712,"Science"
95.3,3181,"Science"
93.1,3108,"Science"
81.3,3465,"Science"
78.6,3350,"Science"
100,3188,"Science"
100,3353,"Science"
95.5,2831,"Science"
76.8,2973,"Science"
86.6,3328,"Science"
98.9,3670,"Science"
90.9,3166,"Science"
87.5,3545,"Science"
100,2955,"Science"
100,2910,"Science"
75,2854,"Science"
86.7,3285,"Science"
85.7,3141,"Science"
100,3151,"Science"
100,3229,"Science"
97.2,3464,"Science"
88.8,2634,"Science"
97.1,2553,"Science"
92.4,3535,"Science"
100,2882,"Science"
74.6,3229,"Science"
81.8,3402,"Science"
90.7,3307,"Science"
100,3604,"Science"
88.6,3442,"Science"
97,3890,"Science"
94.3,3067,"Science"
93.9,3325,"Science"
82.6,3812,"Science"
100,3391,"Science"
97.3,3356,"Science"
100,3466,"Science"
85.2,3355,"Science"
84.3,3052,"Science"
83.9,3321,"Science"
99,3717,"Science"
89,3550,"Science"
93.1,4012,"Science"
95.2,3346,"Science"
89.2,2876,"Science"
87.5,2970,"Science"
100,3339,"Science"
100,3486,"Science"
100,3149,"Science"
100,3310,"Science"
95.6,3391,"Science"
98.3,3624,"Science"
89.9,2607,"Science"
100,2807,"Science"
94.6,3848,"Science"
94.4,2577,"Science"
80.5,3222,"Science"
88.5,3535,"Science"
83.1,3272,"Science"
100,3546,"Science"
89.5,3423,"Science"
85.2,3707,"Science"
90.2,3501,"Science"
81,3058,"Science"
84.3,2995,"Science"
84.9,3386,"Science"
99.1,3597,"Science"
96.3,4385,"Science"
87.8,3113,"Science"
94.6,3368,"Science"
93.2,3363,"Science"
95.1,3529,"Science"
91.5,3311,"Science"
94.9,3548,"Science"
85.7,3329,"Science"
100,3803,"Science"
86.7,2707,"Science"
78.6,3149,"Science"
90.9,3042,"Science"
88.2,3628,"Science"
100,3301,"Science"
100,3344,"Science"
89.8,3704,"Science"
92.7,3600,"Science"
98,2707,"Science"
100,5225,"Science"
92.4,4160,"Science"
92,2792,"Science"
80.4,3255,"Science"
70.1,3173,"Science"
89.7,3580,"Science"
89.8,3625,"Science"
81.6,3490,"Science"
81.1,3486,"Science"
100,3701,"Science"
88.3,3443,"Science"
76.5,3827,"Science"
94,3570,"Science"
82.1,3187,"Science"
76.9,3214,"Science"
85.9,3435,"Science"
99.1,3616,"Science"
93.5,4628,"Science"
97.6,4203,"Science"
90.8,3162,"Science"
93.8,3168,"Science"
97.4,3328,"Science"
91.8,3462,"Science"
91.7,4362,"Science"
91.3,3493,"Science"
87.9,3938,"Science"
100,3291,"Science"
96.9,3904,"Science"
97.7,2980,"Science"
84.5,3301,"Science"
82.8,3591,"Science"
100,3258,"Science"
100,3489,"Science"
95.8,3724,"Science"
98.2,3741,"Science"
96.4,2890,"Science"
94.4,4062,"Science"
80.1,3319,"Science"
90.9,2953,"Science"
76.2,3389,"Science"
87.1,3744,"Science"
100,3738,"Science"
87,3382,"Science"
88.2,3526,"Science"
88.6,3794,"Science"
81.6,3289,"Science"
87.3,3460,"Science"
96.6,3723,"Science"
96.9,4658,"Science"
93.5,4499,"Science"
89,3237,"Science"
91.7,3372,"Science"
94.6,3469,"Science"
98,3546,"Science"
89.5,5136,"Science"
94.7,3576,"Science"
96.8,4088,"Science"
90.4,2895,"Science"
95.3,3536,"Science"
95.8,3571,"Science"
96.6,3431,"Science"
100,3276,"Science"
83.7,3298,"Science"
83.3,3609,"Science"
94.7,3996,"Science"
100,2911,"Science"
85.6,3409,"Science"
84.2,3880,"Science"
88,3393,"Science"
94,3023,"Science"
95.1,3945,"Science"
97.4,4309,"Science"
81.6,3450,"Science"
95.2,2979,"Science"
87.5,3416,"Science"
91.2,3848,"Science"
87,3438,"Science"
100,3758,"Science"
88,3674,"Science"
84.6,4285,"Science"
78.6,4086,"Science"
84,3320,"Science"
88.5,3605,"Science"
100,3840,"Science"
92.8,5571,"Science"
100,4881,"Science"
88.3,3243,"Science"
95.3,3494,"Science"
93.5,3314,"Science"
98.8,3612,"Science"
94.7,7139,"Science"
91.3,3791,"Science"
100,4474,"Science"
100,3466,"Science"
98.3,3498,"Science"
100,3772,"Science"
81.8,3471,"Science"
92.3,4366,"Science"
92.2,3629,"Science"
92.7,3742,"Science"
88.6,3722,"Science"
88.3,3169,"Science"
100,3985,"Science"
92.2,4558,"Science"
88.9,3401,"Science"
94.7,2969,"Science"
95.5,3657,"Science"
92.4,3823,"Science"
91.5,3661,"Science"
100,3744,"Science"
93.5,3666,"Science"
91.3,4584,"Science"
90.3,3922,"Science"
86,3297,"Science"
93.1,3723,"Science"
80,4625,"Science"
99.3,3751,"Science"
100,4456,"Science"
97.1,5735,"Science"
98,5094,"Science"
92.2,3400,"Science"
95.1,3682,"Science"
97.4,3489,"Science"
98.5,3616,"Science"
92.6,5798,"Science"
97.7,3974,"Science"
97.6,4399,"Science"
100,3685,"Science"
100,3542,"Science"
98.2,3518,"Science"
100,3380,"Science"
96.2,3725,"Science"
93.3,3387,"Science"
94.7,3773,"Science"
98.6,4530,"Science"
89.9,3626,"Science"
90.6,3784,"Science"
100,3854,"Science"
92.1,3246,"Science"
88,3284,"Science"
100,3982,"Science"
97,4924,"Science"
96.8,3569,"Science"
90.9,3119,"Science"
100,3888,"Science"
91,4039,"Science"
86.2,3438,"Science"
100,3796,"Science"
92.5,3850,"Science"
89.5,4399,"Science"
91.7,4020,"Science"
82.4,3627,"Science"
92.2,3767,"Science"
100,4677,"Science"
95.9,3923,"Science"
97.7,4981,"Science"
99.1,6002,"Science"
100,5603,"Science"
93.1,3560,"Science"
94.5,3863,"Science"
97.9,3750,"Science"
94.6,4952,"Science"
88.2,4324,"Science"
95.1,4984,"Science"
100,3880,"Science"
100,3546,"Science"
100,3328,"Science"
97.9,3591,"Science"
98.3,3697,"Science"
95.7,3645,"Science"
81.5,3806,"Science"
94.1,3836,"Science"
96.9,4063,"Science"
93.5,4372,"Science"
84.4,3862,"Science"
92.4,3411,"Science"
97.4,3381,"Science"
98.3,5030,"Science"
96.6,3842,"Science"
75,2854,"Science"
89.2,2876,"Science"
86.7,2707,"Science"
97.7,2980,"Science"
90.4,2895,"Science"
86.5,2929,"Science"
93,2978,"Science"
81,2852,"Science"
95.2,3084,"Science"
86,2675,"Science"
96.4,3322,"Science"
91.9,2817,"Science"
79.8,3083,"Science"
80.5,3321,"Science"
83.9,3139,"Science"
80.6,3234,"Science"
70.1,3173,"Science"
77.6,3427,"Science"
80.9,3338,"Science"
91.9,3345,"Science"
90.2,3501,"Science"
90.7,2883,"Science"
78.6,3002,"Science"
88.1,3210,"Science"
86.5,3150,"Science"
87.5,3267,"Science"
75.1,3174,"Science"
88.7,3304,"Science"
90.9,3166,"Science"
87.5,3545,"Science"
74.6,3229,"Science"
88.6,3442,"Science"
89,3550,"Science"
93.1,4012,"Science"
94.4,2577,"Science"
80.5,3222,"Science"
88.5,3535,"Science"
89.5,3423,"Science"
91.5,3311,"Science"
94.9,3548,"Science"
92,2792,"Science"
80.4,3255,"Science"
89.7,3580,"Science"
88.3,3443,"Science"
91.3,3493,"Science"
87.9,3938,"Science"
80.1,3319,"Science"
90.9,2953,"Science"
87.1,3744,"Science"
88.2,3526,"Science"
85.6,3409,"Science"
84.2,3880,"Science"
81.6,3450,"Science"
95.2,2979,"Science"
87.5,3416,"Science"
91.2,3848,"Science"
88,3674,"Science"
92.2,3629,"Science"
92.7,3742,"Science"
88.9,3401,"Science"
94.7,2969,"Science"
95.5,3657,"Science"
92.4,3823,"Science"
93.5,3666,"Science"
89.9,3626,"Science"
90.6,3784,"Science"
96.8,3569,"Science"
90.9,3119,"Science"
100,3888,"Science"
91,4039,"Science"
92.5,3850,"Science"
94.1,3836,"Science"
96.9,4063,"Science"
87.2,3082,"Science"
86,3265,"Science"
74.4,3719,"Science"
73,3498,"Science"
87.2,3644,"Science"
82.2,3800,"Science"
80.8,3208,"Science"
73.7,3241,"Science"
82.1,3186,"Science"
85.7,3683,"Science"
81.6,3490,"Science"
80.2,3576,"Science"
90,3849,"Science"
92.6,3719,"Science"
84.5,3793,"Science"
89.3,2503,"Science"
92.6,2586,"Science"
86.2,2344,"Science"
87.9,2598,"Science"
81.6,2638,"Arts"
100,3506,"Arts"
84.8,2888,"Arts"
86.6,3154,"Arts"
82.1,3023,"Arts"
80,2791,"Arts"
100,3536,"Arts"
81.9,2883,"Arts"
83.1,3277,"Arts"
98.4,4400,"Arts"
77.3,2603,"Arts"
100,2490,"Arts"
90.6,2603,"Arts"
89.1,2595,"Arts"
93.9,2583,"Arts"
89.3,2503,"Arts"
79.3,3457,"Arts"
100,3622,"Arts"
88.4,2999,"Arts"
83,3310,"Arts"
97.6,4099,"Arts"
72,2908,"Arts"
88.5,2682,"Arts"
76.1,2922,"Arts"
87.5,2893,"Arts"
92.6,2586,"Arts"
79.7,2761,"Arts"
100,3525,"Arts"
86.1,3063,"Arts"
90.7,3321,"Arts"
93.2,3960,"Arts"
90.6,3320,"Arts"
91.1,2652,"Arts"
97.4,2485,"Arts"
86.2,2344,"Arts"
92.6,4131,"Arts"
84.6,3147,"Arts"
84.7,3379,"Arts"
86,3265,"Arts"
80,3117,"Arts"
74.1,3479,"Arts"
85.8,3107,"Arts"
88.2,3391,"Arts"
91.3,4079,"Arts"
93.3,3079,"Arts"
93.5,3956,"Arts"
96.2,3067,"Arts"
88.5,2876,"Arts"
90.7,2949,"Arts"
92.3,2841,"Arts"
87.9,2598,"Arts"
86.4,3825,"Arts"
85.7,2986,"Arts"
76.2,3389,"Arts"
100,3751,"Arts"
83.7,3322,"Arts"
87.5,3377,"Arts"
87,3371,"Arts"
90.5,4381,"Arts"
86.7,3324,"Arts"
91.2,2861,"Arts"
84.9,3055,"Arts"
92.3,2796,"Arts"
91.9,3726,"Arts"
83.6,3068,"Arts"
87.5,3416,"Arts"
100,3710,"Arts"
84.9,3456,"Arts"
92.7,3537,"Arts"
100,4199,"Arts"
86.2,3245,"Arts"
96,4197,"Arts"
83.3,3167,"Arts"
81.3,3051,"Arts"
78.7,2832,"Arts"
87.1,2760,"Arts"
80.2,3823,"Arts"
90.4,2925,"Arts"
95.5,3657,"Arts"
100,3682,"Arts"
90.4,3868,"Arts"
93.1,3586,"Arts"
94,4058,"Arts"
90.3,3417,"Arts"
90.5,4370,"Arts"
100,3575,"Arts"
97.1,2862,"Arts"
85.7,2876,"Arts"
83.9,2992,"Arts"
93.7,3919,"Arts"
86.2,3182,"Arts"
100,3888,"Arts"
100,3718,"Arts"
91.4,3600,"Arts"
88.8,3731,"Arts"
97.7,4139,"Arts"
87.5,4178,"Arts"
88.3,4453,"Arts"
100,3490,"Arts"
80,3125,"Arts"
94.4,2989,"Arts"
94.3,2807,"Arts"
95.5,4001,"Arts"
81.6,2638,"Arts"
80,2791,"Arts"
79.3,3457,"Arts"
79.7,2761,"Arts"
85.7,2986,"Arts"
83.6,3068,"Arts"
85.1,2924,"Arts"
90.7,2883,"Arts"
86.8,3006,"Arts"
100,3018,"Arts"
81.8,3045,"Arts"
100,2882,"Arts"
91.1,3345,"Arts"
94.4,2577,"Arts"
84.6,3147,"Arts"
92,2792,"Arts"
86.4,3260,"Arts"
90.9,2953,"Arts"
90.1,3260,"Arts"
95.2,2979,"Arts"
83.8,3310,"Arts"
94.7,2969,"Arts"
87,3483,"Arts"
90.9,3119,"Arts"
82.7,3179,"Arts"
87,3432,"Arts"
88,3322,"Arts"
75,2997,"Arts"
81.6,3124,"Arts"
83.8,2997,"Arts"
90.9,3561,"Arts"
95.5,3354,"Arts"
90.6,2725,"Arts"
85.7,3148,"Arts"
88.4,3753,"Arts"
81.8,3368,"Arts"
80,3117,"Arts"
79.2,3091,"Arts"
81.7,3365,"Arts"
96.6,3472,"Arts"
87.2,3398,"Arts"
98.4,4400,"Architecture"
100,3467,"Architecture"
97.6,4099,"Architecture"
100,3266,"Architecture"
93.2,3960,"Architecture"
90,3239,"Architecture"
91.3,4079,"Architecture"
95.5,3537,"Architecture"
100,3479,"Architecture"
95.1,3945,"Architecture"
100,4199,"Architecture"
100,3985,"Architecture"
94,4058,"Architecture"
78.6,3244,"Architecture"
100,3982,"Architecture"
97.7,4139,"Architecture"
100,3592,"Architecture"
96.6,3842,"Architecture"
97.4,3727,"Business"
90.9,3214,"Business"
87.5,3615,"Business"
88.7,3062,"Business"
94.6,3512,"Business"
93.3,2922,"Business"
97.2,3143,"Business"
93.2,3520,"Business"
95.9,3975,"Business"
98.2,3597,"Business"
89.6,3318,"Business"
92.9,3431,"Business"
87.9,3367,"Business"
94.4,4090,"Business"
93.9,2989,"Business"
100,3407,"Business"
90.9,3752,"Business"
94.5,4116,"Business"
98.6,4438,"Business"
92.2,3502,"Business"
100,4395,"Business"
88.2,3341,"Business"
96,4326,"Business"
97.6,2983,"Business"
98.6,3587,"Business"
93.9,3611,"Business"
98.3,4130,"Business"
97.4,3893,"Business"
89.6,3444,"Business"
94.4,4407,"Business"
93.6,3282,"Business"
96.4,4207,"Business"
88.6,3020,"Business"
99,3465,"Business"
92.4,3831,"Business"
96.1,4234,"Business"
97.2,3892,"Business"
100,5225,"Business"
94.9,4031,"Business"
98.2,4388,"Business"
97.2,3473,"Business"
100,3744,"Business"
97.6,4203,"Business"
93.3,3995,"Business"
95.8,4504,"Business"
94.7,2829,"Business"
99.2,4456,"Business"
92.6,3776,"Business"
100,4572,"Business"
95.7,3732,"Business"
96.6,4424,"Business"
95.2,3522,"Business"
97.6,3683,"Business"
93.5,4499,"Business"
92.1,2991,"Business"
86.5,2929,"Business"
91.6,4133,"Business"
97.4,4544,"Business"
97.9,4359,"Business"
93.8,3797,"Business"
94.4,4562,"Business"
100,4925,"Business"
95.5,4593,"Business"
93.8,4005,"Business"
97.8,4093,"Business"
100,4881,"Business"
89.1,3102,"Business"
81,2852,"Business"
91,4181,"Business"
93,4614,"Business"
97.6,4704,"Business"
95.2,4113,"Business"
97.4,5537,"Business"
96.3,5043,"Business"
94.9,4579,"Business"
90.9,4443,"Business"
96.8,4050,"Business"
98,5094,"Business"
89.9,3148,"Business"
86,2675,"Business"
95.8,4293,"Business"
97.5,4688,"Business"
99.2,5173,"Business"
96.2,4362,"Business"
93.8,6578,"Business"
94.7,5567,"Business"
98.1,4950,"Business"
100,3515,"Business"
97,4194,"Business"
100,5603,"Business"
96.1,3216,"Business"
91.9,2817,"Business"
96.6,4371,"Business"
96.6,4855,"Business"
93.5,4372,"Business"
87.5,3615,"Computing"
88.9,3377,"Computing"
92.4,3953,"Computing"
88.9,3320,"Computing"
89.2,3322,"Computing"
92.9,3431,"Computing"
82.1,3129,"Computing"
90.6,3712,"Computing"
85.7,3386,"Computing"
95.5,3789,"Computing"
100,4395,"Computing"
92.6,3291,"Computing"
97,3890,"Computing"
90.3,3301,"Computing"
